D_A_avg_losses,D_B_avg_losses,G_A_avg_losses,G_B_avg_losses,cycle_A_avg_losses,cycle_B_avg_losses
0.33146125078201294,0.38840290904045105,0.48268651962280273,0.42399919033050537,3.136216163635254,3.705702304840088
0.2681800425052643,0.2168111950159073,0.35211798548698425,0.4151607155799866,2.795760154724121,3.2760653495788574
0.2037830352783203,0.19300219416618347,0.40461650490760803,0.36758631467819214,2.5853283405303955,3.124159812927246
0.18904346227645874,0.2994549870491028,0.5340271592140198,0.45500943064689636,2.5544188022613525,3.046590566635132
0.1615484654903412,0.189448744058609,0.35832101106643677,0.41689831018447876,2.477142333984375,2.862053394317627
0.1447032243013382,0.14878256618976593,0.463769793510437,0.42095518112182617,2.5680956840515137,3.0154480934143066
0.16726161539554596,0.16701190173625946,0.3934401273727417,0.4352537989616394,2.4306588172912598,2.881425142288208
0.1455049365758896,0.2669018805027008,0.4764884114265442,0.45488065481185913,2.4139404296875,2.8211207389831543
0.15908710658550262,0.18874740600585938,0.32432466745376587,0.4671429395675659,2.3444647789001465,2.651029109954834
0.13025347888469696,0.18639938533306122,0.375226229429245,0.43087783455848694,2.343850612640381,2.678192377090454
0.1537485420703888,0.1683148741722107,0.3906683921813965,0.44834038615226746,2.3097920417785645,2.629683017730713
0.1332758367061615,0.13840952515602112,0.40070825815200806,0.41773608326911926,2.308093547821045,2.650073528289795
0.13979028165340424,0.14565759897232056,0.44245216250419617,0.42831721901893616,2.292663812637329,2.6119730472564697
0.14457033574581146,0.14901293814182281,0.37986019253730774,0.4084147810935974,2.2619378566741943,2.5645270347595215
0.15769578516483307,0.14118073880672455,0.41629287600517273,0.4290935695171356,2.233668088912964,2.5680460929870605
0.14175976812839508,0.13916634023189545,0.42562800645828247,0.4071862995624542,2.2459754943847656,2.5247533321380615
0.1282666027545929,0.15255996584892273,0.4057786166667938,0.43610620498657227,2.237330913543701,2.522172451019287
0.13031674921512604,0.1413259655237198,0.3913652300834656,0.39863160252571106,2.207796096801758,2.5322587490081787
0.14749963581562042,0.14707349240779877,0.4690098464488983,0.4338499903678894,2.2094388008117676,2.5119893550872803
0.12339521944522858,0.11876230686903,0.41039925813674927,0.4216967821121216,2.182887077331543,2.4914541244506836
0.13629387319087982,0.12903104722499847,0.4552621841430664,0.4487306773662567,2.211303234100342,2.594679117202759
0.16467179358005524,0.12614907324314117,0.4593847990036011,0.4376665949821472,2.159100294113159,2.4807627201080322
0.12844908237457275,0.13636422157287598,0.4012335240840912,0.4003584086894989,2.1693296432495117,2.448166608810425
0.13175581395626068,0.13311053812503815,0.40708664059638977,0.40902361273765564,2.1552295684814453,2.4348065853118896
0.13276615738868713,0.13573715090751648,0.41447713971138,0.3979186713695526,2.1638224124908447,2.404160499572754
0.13527247309684753,0.11805160343647003,0.41216281056404114,0.40023934841156006,2.1288697719573975,2.3828940391540527
0.1248001903295517,0.1253286451101303,0.4210374057292938,0.4466542899608612,2.1268320083618164,2.4069502353668213
0.12660744786262512,0.15042530000209808,0.4393883943557739,0.42663490772247314,2.116703987121582,2.3483834266662598
0.1369391679763794,0.13337664306163788,0.3983500897884369,0.42008814215660095,2.1022276878356934,2.333162546157837
0.1436454951763153,0.1301497519016266,0.4364652633666992,0.4054395854473114,2.107318162918091,2.3652281761169434
0.12568458914756775,0.12185858190059662,0.4510309100151062,0.4251694083213806,2.1276650428771973,2.400179862976074
0.14209268987178802,0.1337253302335739,0.42997467517852783,0.4128156900405884,2.0694544315338135,2.338416337966919
